S. No.,Name of District,Recharge from rainfall (Monsoon),Recharge from other sources (Monsoon),Recharge from rainfall (Non-monsoon),Recharge from other sources (Non-monsoon),Total Annual Ground Water Recharge,Total Natural Discharges,Annual Extractable Ground Water Resource,Irrigation,Industrial,Domestic,Total,Annual GW Allocation for Domestic Use as on 2025,Net Ground Water Availability for future use,Stage of Ground Water Extraction (%)
1,Agra,3737.68,15417.84,547.66,3486.8,23189.98,2172.31,21017.68,8312.89,223.67,1108.3,9444.82,1160.49,9896.04,117.3
2,Aligarh,4707.18,11634.02,1647.09,3411.9,21399.19,2470.68,18928.52,6027.16,872.65,1108.3,8007.88,1260.85,9920.64,79.86
3,Ambedkar Nagar,5273.03,11917.93,382.18,1555.16,8054.3,2486.13,5568.17,3908.47,73.58,634.92,4550.34,567.03,2668.31,82.84
4,Amethi,3298.93,2075.75,392.15,2711.72,8480.55,476.41,8004.13,4792.91,240.18,989.39,6022.48,581.62,7486.77,66.69
5,Amroha,4089.09,5729.6,1059.67,2071.14,12949.5,1039.23,11910.27,3991.03,241.68,984.39,5217.1,528.01,6693.17,65.63
6,Auraiya,2728.09,15158.76,748.91,2316.45,20952.21,1379.41,19572.8,5522.42,760.61,2968.36,8841.82,1391.08,20493.15,62.27
7,Ayodhya,5206.72,13496.87,448.17,3916.53,23068.29,2271.32,20796.98,6149.02,675.05,754.89,7578.97,726.11,13579.65,62.23
8,Azamgarh,7769.97,22648.11,3425.12,3196.42,36407.62,6169.06,30238.56,11620.48,557.57,1253.73,13431.78,1463.82,5050.35,59.38
9,Baghpat,1828.15,7486.87,345.65,2071.06,11731.73,1107.12,10624.61,3732.01,257.17,980.92,4969.09,488.56,5892.04,92.09
10,Bahraich,5893.76,25101.96,2494.27,4834.72,38324.71,2585.01,35739.7,12846.02,392.12,9457.32,22695.43,1077.23,26846.44,59.67
11,Ballia,6543.15,17818.16,1309.89,2204.53,25875.72,1183.42,24692.3,4354.22,99.12,826.67,5279.94,877.9,23717.55,62.45
12,Balrampur,6448.78,17319.65,3122.34,1225.41,28116.18,6740.62,21375.56,9020.67,517.56,828.97,10367.2,877.22,8972.32,67.09
13,Banda,4903.09,6295.6,1086.14,2102.14,14386.97,1828.01,12558.96,5299.07,131.06,322.32,5752.45,524.55,3259.89,62.26
14,Barabanki,7745.17,4754.07,1711.85,1829.98,16040.97,2907.27,13133.69,4098.02,200.9,1020.34,5319.26,486.96,3795.67,62.09
15,Bareilly,7257.07,25297.64,1421.61,3130.62,34086.94,5208.81,28878.13,10298.47,318.69,9120.52,19737.68,1024.38,21579.05,68.37
