Sl. No,State,District,block,Condition 2024
1,Uttar Pradesh,Agra,Achhnera,Semi_Critical
2,Uttar Pradesh,Agra,Akola,Over_Exploited
3,Uttar Pradesh,Agra,Bah,Critical
4,Uttar Pradesh,Agra,Barauli Ahir,Over_Exploited
5,Uttar Pradesh,Agra,Bichpuri,Over_Exploited
6,Uttar Pradesh,Agra,Etmadpur,Over_Exploited
7,Uttar Pradesh,Agra,Fatehabad,Over_Exploited
8,Uttar Pradesh,Agra,Fatehpur Sikri,Over_Exploited
9,Uttar Pradesh,Agra,Jagner,Semi_Critical
10,Uttar Pradesh,Agra,Jaitpur Kalan,Semi_Critical
11,Uttar Pradesh,Agra,Khandauli,Over_Exploited
12,Uttar Pradesh,Agra,Kheragarh,Critical
13,Uttar Pradesh,Agra,Pinahat,Semi_Critical
14,Uttar Pradesh,Agra,Saiyana,Over_Exploited
15,Uttar Pradesh,Agra,Shamsabad,Over_Exploited
16,Uttar Pradesh,Agra,Agra City,Over_Exploited
17,Uttar Pradesh,Aligarh,Akrabad,Safe
18,Uttar Pradesh,Aligarh,Atrauli,Safe
19,Uttar Pradesh,Aligarh,Bijauli,Safe
20,Uttar Pradesh,Aligarh,Chandaus,Semi_Critical
21,Uttar Pradesh,Aligarh,Dhanipur,Safe
22,Uttar Pradesh,Aligarh,Gangiri,Semi_Critical
23,Uttar Pradesh,Aligarh,Gonda,Semi_Critical
24,Uttar Pradesh,Aligarh,Iglas,Critical
25,Uttar Pradesh,Aligarh,Jawa Sikandairpur,Semi_Critical
26,Uttar Pradesh,Aligarh,Khair,Semi_Critical
27,Uttar Pradesh,Aligarh,Lodha,Semi_Critical
28,Uttar Pradesh,Aligarh,Tappal,Safe
29,Uttar Pradesh,Aligarh,Aligarh City,Over_Exploited
30,Uttar Pradesh,Ambedkar Nagar,Akbarpur,Safe
31,Uttar Pradesh,Ambedkar Nagar,Baskhari,Safe
32,Uttar Pradesh,Ambedkar Nagar,Bhiti,Safe
33,Uttar Pradesh,Ambedkar Nagar,Bhiyaon,Safe
34,Uttar Pradesh,Ambedkar Nagar,Jahangirgani,Safe
35,Uttar Pradesh,Ambedkar Nagar,Jalalpur,Safe
36,Uttar Pradesh,Ambedkar Nagar,Katehari,Safe
37,Uttar Pradesh,Ambedkar Nagar,Ramnagar,Safe
38,Uttar Pradesh,Ambedkar Nagar,Tanda,Safe
39,Uttar Pradesh,Amethi,Amethi,Safe
40,Uttar Pradesh,Amethi,Bahadurpur,Safe
41,Uttar Pradesh,Amethi,Bhadar,Semi_Critical
42,Uttar Pradesh,Amethi,Bhetua,Safe
43,Uttar Pradesh,Amethi,Gauriganj,Safe
44,Uttar Pradesh,Amethi,Jagdishpur,Safe
45,Uttar Pradesh,Amethi,Jamo,Safe
46,Uttar Pradesh,Amethi,Musafirkhana,Safe
47,Uttar Pradesh,Amethi,Sangrampur,Semi_Critical
48,Uttar Pradesh,Amethi,Shahgarh,Safe
49,Uttar Pradesh,Amethi,Shukul Bazar,Safe
50,Uttar Pradesh,Amethi,Singhpur,Safe
51,Uttar Pradesh,Amethi,Tiloi,Safe
52,Uttar Pradesh,Amroha,Dhanaura,Critical
53,Uttar Pradesh,Amroha,Gajraula,Critical
54,Uttar Pradesh,Amroha,Hasanpur,Semi_Critical
55,Uttar Pradesh,Amroha,Joya,Over_Exploited
56,Uttar Pradesh,Amroha,Amroha,Semi_Critical
57,Uttar Pradesh,Amroha,Gangeshwari,Semi_Critical
58,Uttar Pradesh,Auraiya,Achhalda,Safe
59,Uttar Pradesh,Auraiya,Ajitmal,Safe
60,Uttar Pradesh,Auraiya,Aurraiya,Safe
61,Uttar Pradesh,Auraiya,Bhagyanagar,Safe
62,Uttar Pradesh,Auraiya,Bidhuna,Safe
63,Uttar Pradesh,Auraiya,Erwa Katra,Safe
64,Uttar Pradesh,Auraiya,Sahar,Safe
65,Uttar Pradesh,Ayodhya,Amaniganj,Safe
66,Uttar Pradesh,Ayodhya,Bikapur,Safe
67,Uttar Pradesh,Ayodhya,Harringtanganj,Safe
68,Uttar Pradesh,Ayodhya,Masodha,Safe
69,Uttar Pradesh,Ayodhya,Maya Bazar,Safe
70,Uttar Pradesh,Ayodhya,Milkipur,Safe
71,Uttar Pradesh,Ayodhya,Pura Bazar,Safe
72,Uttar Pradesh,Ayodhya,Sohawal,Safe
73,Uttar Pradesh,Ayodhya,Tarun,Safe
74,Uttar Pradesh,Ayodhya,Mawai,Safe
75,Uttar Pradesh,Ayodhya,Rudauli,Safe
76,Uttar Pradesh,Azamgarh,Ahiraula,Safe
77,Uttar Pradesh,Azamgarh,Atraulia,Safe
78,Uttar Pradesh,Azamgarh,Azamatgarh,Safe
79,Uttar Pradesh,Azamgarh,Bilhariyaganj,Safe
80,Uttar Pradesh,Azamgarh,Haraiya,Safe
81,Uttar Pradesh,Azamgarh,Jahanganj,Safe
82,Uttar Pradesh,Azamgarh,Koilsa,Safe
83,Uttar Pradesh,Azamgarh,Lalganj,Safe
84,Uttar Pradesh,Azamgarh,Maharajganj,Safe
85,Uttar Pradesh,Azamgarh,Martinganj,Safe
86,Uttar Pradesh,Azamgarh,Mehnagar,Safe
87,Uttar Pradesh,Azamgarh,Mirzapur,Safe
88,Uttar Pradesh,Azamgarh,Mohammadpur,Safe
89,Uttar Pradesh,Azamgarh,Palhana,Safe
90,Uttar Pradesh,Azamgarh,Palhani,Safe
91,Uttar Pradesh,Azamgarh,Pawai,Safe
92,Uttar Pradesh,Azamgarh,Phulpur,Safe
93,Uttar Pradesh,Azamgarh,Rani Ki Sarai,Safe
94,Uttar Pradesh,Azamgarh,Sathiyaon,Safe
95,Uttar Pradesh,Azamgarh,Tahbarpur,Safe
96,Uttar Pradesh,Azamgarh,Tarwa,Safe
97,Uttar Pradesh,Azamgarh,Thekma,Safe
98,Uttar Pradesh,Bagpat,Baghpat,Semi_Critical
99,Uttar Pradesh,Bagpat,Baraut,Semi_Critical
100,Uttar Pradesh,Bagpat,Binauli,Over_Exploited
101,Uttar Pradesh,Bagpat,Chhaprauli,Semi_Critical
102,Uttar Pradesh,Bagpat,Khekra,Over_Exploited
103,Uttar Pradesh,Bagpat,Pilana,Over_Exploited
104,Uttar Pradesh,Bahraich,Balha,Safe
105,Uttar Pradesh,Bahraich,Bisheshwarganj,Safe
106,Uttar Pradesh,Bahraich,Chittaura,Safe
107,Uttar Pradesh,Bahraich,Fakharpur,Safe
108,Uttar Pradesh,Bahraich,Huzurpur,Safe
109,Uttar Pradesh,Bahraich,Jarwal,Safe
110,Uttar Pradesh,Bahraich,Kaisarganj,Safe
111,Uttar Pradesh,Bahraich,Mahasi,Safe
112,Uttar Pradesh,Bahraich,Mihipurwa,Safe
113,Uttar Pradesh,Bahraich,Nawabganj,Safe
114,Uttar Pradesh,Bahraich,Payagpur,Safe
115,Uttar Pradesh,Bahraich,Risiya,Safe
116,Uttar Pradesh,Bahraich,Shivpur,Safe
117,Uttar Pradesh,Bahraich,Tejwapur,Safe
118,Uttar Pradesh,Ballia,Bairia Khera,Safe
119,Uttar Pradesh,Ballia,Bansdih,Safe
120,Uttar Pradesh,Ballia,Belhari,Safe
121,Uttar Pradesh,Ballia,Beruar,Safe
122,Uttar Pradesh,Ballia,Chilkahar,Safe
123,Uttar Pradesh,Ballia,Dubahand,Safe
124,Uttar Pradesh,Ballia,Garwar,Safe
125,Uttar Pradesh,Ballia,Hanumanganj Brahmin,Safe
126,Uttar Pradesh,Ballia,Maniyar,Safe
127,Uttar Pradesh,Ballia,Murli Chhapra,Safe
128,Uttar Pradesh,Ballia,Nawa Nagar,Safe
129,Uttar Pradesh,Ballia,Negara,Safe
130,Uttar Pradesh,Ballia,Pandah,Safe
131,Uttar Pradesh,Ballia,Rasra,Safe
132,Uttar Pradesh,Ballia,Reoti,Safe
133,Uttar Pradesh,Ballia,Siar,Safe
134,Uttar Pradesh,Ballia,Sohaon,Safe
135,Uttar Pradesh,Balrampur,Balrampur,Safe
136,Uttar Pradesh,Balrampur,Gaindas Buzurg,Safe
137,Uttar Pradesh,Balrampur,Gainsara,Safe
138,Uttar Pradesh,Balrampur,Harraiya Satgharwa,Safe
139,Uttar Pradesh,Balrampur,Pachperwa,Safe
140,Uttar Pradesh,Balrampur,Rehra Bazar,Safe
141,Uttar Pradesh,Balrampur,Shri Datt Ganj,Safe
142,Uttar Pradesh,Balrampur,Tulsipur,Safe
143,Uttar Pradesh,Balrampur,Utraula,Safe
144,Uttar Pradesh,Banda,Baberu,Semi_Critical
145,Uttar Pradesh,Banda,Barokhar,Safe
146,Uttar Pradesh,Banda,Bisanda,Safe
147,Uttar Pradesh,Banda,Jaspura,Semi_Critical
148,Uttar Pradesh,Banda,Kamasin,Safe
149,Uttar Pradesh,Banda,Mahuva,Safe
150,Uttar Pradesh,Banda,Naraini,Semi_Critical
151,Uttar Pradesh,Banda,Tindwari,Semi_Critical
152,Uttar Pradesh,Barabanki,Bani Kodar,Safe
153,Uttar Pradesh,Barabanki,Banki,Safe
154,Uttar Pradesh,Barabanki,Dariyabad,Safe
155,Uttar Pradesh,Barabanki,Dewa,Safe
156,Uttar Pradesh,Barabanki,Fatehpur,Safe
157,Uttar Pradesh,Barabanki,Haidergarh,Safe
158,Uttar Pradesh,Barabanki,Harak,Safe
159,Uttar Pradesh,Barabanki,Masauli,Safe
160,Uttar Pradesh,Barabanki,Nindaura,Safe
161,Uttar Pradesh,Barabanki,Pure Dalai,Safe
162,Uttar Pradesh,Barabanki,Ramnagar,Safe
163,Uttar Pradesh,Barabanki,Siddhaur,Safe
164,Uttar Pradesh,Barabanki,Sirauli Gauspur,Safe
165,Uttar Pradesh,Barabanki,Suratganj,Safe
166,Uttar Pradesh,Barabanki,Trivediganj,Safe
167,Uttar Pradesh,Bareilly,Alampur Jafarabad,Critical
168,Uttar Pradesh,Bareilly,Baheri,Safe
169,Uttar Pradesh,Bareilly,Bhadpura,Safe
170,Uttar Pradesh,Bareilly,Bhojpura,Safe
171,Uttar Pradesh,Bareilly,Bhutah,Safe
172,Uttar Pradesh,Bareilly,Bitheri Chainpur,Safe
173,Uttar Pradesh,Bareilly,Faridpur,Safe
174,Uttar Pradesh,Bareilly,Fatehganj,Semi_Critical
175,Uttar Pradesh,Bareilly,Kyara,Safe
176,Uttar Pradesh,Bareilly,Majhgawa,Semi_Critical
177,Uttar Pradesh,Bareilly,Meerganj,Safe
178,Uttar Pradesh,Bareilly,Nawabganj,Safe
179,Uttar Pradesh,Bareilly,Ramnagar,Semi_Critical
180,Uttar Pradesh,Bareilly,Richha,Safe
181,Uttar Pradesh,Bareilly,Shergarh,Safe
182,Uttar Pradesh,Bareilly,Bareilly City,Over_Exploited
183,Uttar Pradesh,Basti,Bahadurpur,Safe
184,Uttar Pradesh,Basti,Bankati,Safe
185,Uttar Pradesh,Basti,Basti Sadar,Safe
186,Uttar Pradesh,Basti,Dubauliya,Safe
187,Uttar Pradesh,Basti,Gaur,Safe
188,Uttar Pradesh,Basti,Harraiya,Safe
189,Uttar Pradesh,Basti,Kaptanganj,Safe
190,Uttar Pradesh,Basti,Kudraha,Safe
191,Uttar Pradesh,Basti,Parasrampur,Safe
192,Uttar Pradesh,Basti,Ramnagar,Safe
193,Uttar Pradesh,Basti,Rudhauli,Safe
194,Uttar Pradesh,Basti,Salatua,Safe
195,Uttar Pradesh,Basti,Saughat,Safe
196,Uttar Pradesh,Basti,Vikramjot,Safe
197,Uttar Pradesh,Bijnor,Afzalgarh,Safe
198,Uttar Pradesh,Bijnor,Dhanpur (Alhepur),Safe
199,Uttar Pradesh,Bijnor,Haldaur (Khari Jhalu),Safe
200,Uttar Pradesh,Bijnor,Jaleelpur,Critical
201,Uttar Pradesh,Bijnor,Kiratpur,Safe
202,Uttar Pradesh,Bijnor,Kotwali,Safe
203,Uttar Pradesh,Bijnor,Mohammadpur Deomal,Safe
204,Uttar Pradesh,Bijnor,Najibabad,Safe
205,Uttar Pradesh,Bijnor,Nehtaur (Aaku),Semi_Critical
206,Uttar Pradesh,Bijnor,Noorpur,Semi_Critical
207,Uttar Pradesh,Bijnor,Seohara (Budhanpur),Semi_Critical
208,Uttar Pradesh,Budaun,Ambiapur,Over_Exploited
209,Uttar Pradesh,Budaun,Asafpur,Critical
210,Uttar Pradesh,Budaun,Bisauli,Critical
211,Uttar Pradesh,Budaun,Dahgawan,Safe
212,Uttar Pradesh,Budaun,Dataganj,Safe
213,Uttar Pradesh,Budaun,Islamnagar,Over_Exploited
214,Uttar Pradesh,Budaun,Jagat,Semi_Critical
215,Uttar Pradesh,Budaun,Miaon,Semi_Critical
216,Uttar Pradesh,Budaun,Quadar Chowk,Semi_Critical
217,Uttar Pradesh,Budaun,Sahaswan,Semi_Critical
218,Uttar Pradesh,Budaun,Salarpur,Semi_Critical
219,Uttar Pradesh,Budaun,Samrer,Safe
220,Uttar Pradesh,Budaun,Ujhani,Semi_Critical
221,Uttar Pradesh,Budaun,Usawan,Safe
222,Uttar Pradesh,Budaun,Wazirganj,Semi_Critical
223,Uttar Pradesh,Bulandshahar,Agauta,Safe
224,Uttar Pradesh,Bulandshahar,Anup Shahar,Semi_Critical
225,Uttar Pradesh,Bulandshahar,Arnia Khurd,Critical
226,Uttar Pradesh,Bulandshahar,Bhawan Bahadur Nagar,Over_Exploited
227,Uttar Pradesh,Bulandshahar,Bulandshahar,Over_Exploited
228,Uttar Pradesh,Bulandshahar,Danpur,Critical
229,Uttar Pradesh,Bulandshahar,Debai,Semi_Critical
230,Uttar Pradesh,Bulandshahar,Gulaothi,Over_Exploited
231,Uttar Pradesh,Bulandshahar,Jahangirabad,Semi_Critical
232,Uttar Pradesh,Bulandshahar,Khurja,Critical
233,Uttar Pradesh,Bulandshahar,Lakhaothi,Semi_Critical
234,Uttar Pradesh,Bulandshahar,Pahasu,Semi_Critical
235,Uttar Pradesh,Bulandshahar,Shikarpur,Critical
236,Uttar Pradesh,Bulandshahar,Siana,Over_Exploited
237,Uttar Pradesh,Bulandshahar,Sikandrabad,Over_Exploited
238,Uttar Pradesh,Bulandshahar,Unchagaon,Critical
239,Uttar Pradesh,Chandauli,Barahani,Safe
240,Uttar Pradesh,Chandauli,Chahniya,Safe
241,Uttar Pradesh,Chandauli,Chakia,Semi_Critical
242,Uttar Pradesh,Chandauli,Chandauli,Safe
243,Uttar Pradesh,Chandauli,Dhanapur,Safe
244,Uttar Pradesh,Chandauli,Naugarh,Safe
